Date,Bonds Yield Close,Month end,30 years yahoo,Bond price,DJA,Effective FED rate
11/11/1896,3.426956522,0,0,103.0068511,44.33,
11/12/1896,3.426521739,0,0,103.0199213,44.9,
11/13/1896,3.426086957,0,0,103.0329949,44.5,
11/14/1896,3.425652174,0,0,103.0460718,44.54,
11/16/1896,3.425217391,0,0,103.0591521,43.59,
11/17/1896,3.424782609,0,0,103.0722356,43.59,
11/18/1896,3.424347826,0,0,103.0853225,43.63,
11/19/1896,3.423913043,0,0,103.0984127,43.44,
11/20/1896,3.423478261,0,0,103.1115062,43.24,
11/21/1896,3.423043478,0,0,103.1246031,42.91,
11/23/1896,3.422608696,0,0,103.1377033,42.95,
11/24/1896,3.422173913,0,0,103.1508068,42.71,
11/25/1896,3.42173913,0,0,103.1639136,42.47,
11/27/1896,3.421304348,0,0,103.1770238,41.9,
11/28/1896,3.420869565,0,0,103.1901373,41.78,
11/30/1896,3.420434783,0,0,103.2032541,41,
12/01/1896,3.42,1,0,103.2163743,41.98,
12/02/1896,3.4192,0,0,103.2405241,41.95,
12/03/1896,3.4184,0,0,103.2646852,42.22,
12/04/1896,3.4176,0,0,103.2888577,42.07,
12/05/1896,3.4168,0,0,103.3130414,41.97,
12/07/1896,3.416,0,0,103.3372365,41.58,
12/08/1896,3.4152,0,0,103.361443,41.6,
12/09/1896,3.4144,0,0,103.3856607,41.78,
12/10/1896,3.4136,0,0,103.4098899,41.48,
12/11/1896,3.4128,0,0,103.4341303,41.42,
12/12/1896,3.412,0,0,103.4583822,41.4,
12/14/1896,3.4112,0,0,103.4826454,40.42,
12/15/1896,3.4104,0,0,103.50692,39.5,
12/16/1896,3.4096,0,0,103.531206,39.96,
12/17/1896,3.4088,0,0,103.5555034,40.8,
12/18/1896,3.408,0,0,103.5798122,38.59,
12/19/1896,3.4072,0,0,103.6041324,39.37,
12/21/1896,3.4064,0,0,103.6284641,39.8,
12/22/1896,3.4056,0,0,103.6528071,39.53,
12/23/1896,3.4048,0,0,103.6771617,39.76,
12/24/1896,3.404,0,0,103.7015276,40.02,
12/28/1896,3.4032,0,0,103.725905,40.14,
12/29/1896,3.4024,0,0,103.7502939,40.52,
12/30/1896,3.4016,0,0,103.7746943,40.62,
12/31/1896,3.4008,0,0,103.7991061,40.45,
01/02/1897,3.4,1,0,103.8235294,40.74,
01/04/1897,3.4,0,0,103.8235294,40.37,
01/05/1897,3.4,0,0,103.8235294,40.87,
01/06/1897,3.4,0,0,103.8235294,40.95,
01/07/1897,3.4,0,0,103.8235294,40.87,
01/08/1897,3.4,0,0,103.8235294,40.97,
01/09/1897,3.4,0,0,103.8235294,40.9,
01/11/1897,3.4,0,0,103.8235294,40.75,
01/12/1897,3.4,0,0,103.8235294,41.4,
01/13/1897,3.4,0,0,103.8235294,41.45,
01/14/1897,3.4,0,0,103.8235294,41.79,
01/15/1897,3.4,0,0,103.8235294,42.27,
01/16/1897,3.4,0,0,103.8235294,42.82,
01/18/1897,3.4,0,0,103.8235294,42.76,
01/19/1897,3.4,0,0,103.8235294,43.25,
01/20/1897,3.4,0,0,103.8235294,42.78,
01/21/1897,3.4,0,0,103.8235294,42.52,
01/22/1897,3.4,0,0,103.8235294,42.42,
01/23/1897,3.4,0,0,103.8235294,42.02,
01/25/1897,3.4,0,0,103.8235294,41.91,
01/26/1897,3.4,0,0,103.8235294,42.22,
01/27/1897,3.4,0,0,103.8235294,42.21,
01/28/1897,3.4,0,0,103.8235294,41.88,
01/29/1897,3.4,0,0,103.8235294,42.06,
01/30/1897,3.4,0,0,103.8235294,42.56,
02/01/1897,3.4,1,0,103.8235294,42.38,
02/02/1897,3.399545455,0,0,103.8374114,42.02,
02/03/1897,3.399090909,0,0,103.8512971,41.93,
02/04/1897,3.398636364,0,0,103.8651866,41.3,
02/05/1897,3.398181818,0,0,103.8790797,41.23,
02/06/1897,3.397727273,0,0,103.8929766,41.42,
02/08/1897,3.397272727,0,0,103.9068772,41.11,
02/09/1897,3.396818182,0,0,103.9207815,40.57,
02/10/1897,3.396363636,0,0,103.9346895,40.57,
02/11/1897,3.395909091,0,0,103.9486013,40.27,
02/13/1897,3.395454545,0,0,103.9625167,39.72,
02/15/1897,3.395,0,0,103.9764359,39.74,
02/16/1897,3.394545455,0,0,103.9903589,40.3,
02/17/1897,3.394090909,0,0,104.0042855,40.3,
02/18/1897,3.393636364,0,0,104.0182159,40.32,
02/19/1897,3.393181818,0,0,104.03215,40.28,
02/20/1897,3.392727273,0,0,104.0460879,40.59,
02/23/1897,3.392272727,0,0,104.0600295,40.69,
02/24/1897,3.391818182,0,0,104.0739748,40.76,
02/25/1897,3.391363636,0,0,104.0879239,40.21,
02/26/1897,3.390909091,0,0,104.1018767,41.29,
02/27/1897,3.390454545,0,0,104.1158332,41.71,
03/01/1897,3.39,1,0,104.1297935,41.69,
03/02/1897,3.39,0,0,104.1297935,41.88,
03/03/1897,3.39,0,0,104.1297935,42.13,
03/04/1897,3.39,0,0,104.1297935,41.34,
03/05/1897,3.39,0,0,104.1297935,41.45,
03/06/1897,3.39,0,0,104.1297935,41.31,
03/08/1897,3.39,0,0,104.1297935,41.9,
03/09/1897,3.39,0,0,104.1297935,41.62,
03/10/1897,3.39,0,0,104.1297935,41.79,
