Date,Open,High,Low,Close,Volume,Dividend,SMA 200,Enter_200
2004-03-25,110.08,111.3,109.79,111.0,49873600,0.0,,0
2004-03-26,110.96,111.79,110.8,111.03,37409500,0.0,,0
2004-03-29,111.63,112.74,111.58,112.59,44113600,0.0,,0
2004-03-30,112.3,113.07,112.22,112.97,39059900,0.0,,0
2004-03-31,112.99,113.4,112.38,113.1,48517600,0.0,,0
2004-04-01,113.07,113.87,113.05,113.78,45103800,0.0,,0
2004-04-02,114.81,114.84,113.9,114.64,50987700,0.0,,0
2004-04-05,114.46,115.38,114.44,115.27,30251800,0.0,,0
2004-04-06,114.83,115.18,114.62,114.9,28420900,0.0,,0
2004-04-07,114.95,114.98,114.11,114.63,45890500,0.0,,0
2004-04-08,115.41,115.41,113.74,114.37,46929700,0.0,,0
2004-04-12,114.58,115.08,114.57,114.82,23085200,0.0,,0
2004-04-13,115.26,115.3,113.02,113.21,56210300,0.0,,0
2004-04-14,112.61,113.64,112.55,113.39,62322300,0.0,,0
2004-04-15,113.45,113.78,112.36,112.96,61602500,0.0,,0
2004-04-16,113.38,114.05,112.98,113.83,47059200,0.0,,0
2004-04-19,113.55,113.99,113.27,113.83,28277600,0.0,,0
2004-04-20,114.08,114.32,111.78,111.92,53299400,0.0,,0
2004-04-21,112.2,112.95,111.87,112.67,50177300,0.0,,0
2004-04-22,112.48,114.67,112.44,114.25,62071500,0.0,,0
2004-04-23,114.42,114.57,113.79,114.36,29395700,0.0,,0
2004-04-26,114.5,114.94,113.6,114.2,35515200,0.0,,0
2004-04-27,114.23,115.12,113.96,114.3,43485500,0.0,,0
2004-04-28,113.89,114.01,112.5,112.82,50165800,0.0,,0
2004-04-29,112.72,113.32,111.16,111.83,69687600,0.0,,0
2004-04-30,112.17,112.38,110.9,110.96,48681400,0.0,,0
2004-05-03,111.37,112.29,111.35,112.15,33758000,0.0,,0
2004-05-04,112.25,113.26,111.66,112.06,51185100,0.0,,0
2004-05-05,112.41,112.96,112.16,112.78,34405000,0.0,,0
2004-05-06,112.02,112.59,111.0,111.81,54997000,0.0,,0
2004-05-07,111.22,112.23,109.96,109.96,60950000,0.0,,0
2004-05-10,109.44,109.75,108.36,108.83,75279400,0.0,,0
2004-05-11,109.46,110.05,109.33,109.75,48300600,0.0,,0
2004-05-12,109.57,110.54,108.06,110.45,90830500,0.0,,0
2004-05-13,109.76,110.81,109.63,109.99,57393700,0.0,,0
2004-05-14,109.95,110.74,109.27,110.04,54123100,0.0,,0
2004-05-17,108.89,109.5,108.41,109.1,55020400,0.0,,0
2004-05-18,109.49,109.94,109.33,109.65,30193100,0.0,,0
2004-05-19,110.5,111.18,109.15,109.27,54804100,0.0,,0
2004-05-20,109.45,109.87,109.04,109.62,38082900,0.0,,0
2004-05-21,109.97,110.55,109.47,109.81,47480400,0.0,,0
2004-05-24,110.53,110.76,109.68,110.27,40961500,0.0,,0
2004-05-25,109.9,111.98,109.6,111.85,48668000,0.0,,0
2004-05-26,111.66,112.29,111.51,112.24,35977000,0.0,,0
2004-05-27,112.54,113.03,112.06,112.87,45306900,0.0,,0
2004-05-28,112.73,112.88,112.36,112.86,23367200,0.0,,0
2004-06-01,112.46,112.86,111.87,112.71,41044700,0.0,,0
2004-06-02,113.03,113.48,112.46,113.13,39774200,0.0,,0
2004-06-03,112.81,113.19,112.07,112.09,38688300,0.0,,0
2004-06-04,112.98,113.58,112.71,112.98,32739500,0.0,,0
2004-06-07,113.43,114.81,113.42,114.7,31643800,0.0,,0
2004-06-08,114.37,114.92,114.17,114.86,32846500,0.0,,0
2004-06-09,114.51,114.7,113.72,113.79,36737600,0.0,,0
2004-06-10,114.04,114.35,113.93,114.35,21711000,0.0,,0
2004-06-14,113.82,113.85,112.87,113.22,34633000,0.0,,0
2004-06-15,113.9,114.45,113.51,114.02,37445000,0.0,,0
2004-06-16,114.0,114.2,113.7,114.0,26633400,0.0,,0
2004-06-17,113.85,114.07,113.33,113.83,28402400,0.0,,0
2004-06-18,113.27,114.22,113.18,113.63,31799800,0.414,,0
2004-06-21,113.75,114.14,113.13,113.2,25284000,0.0,,0
2004-06-22,113.13,113.88,112.67,113.77,37334000,0.0,,0
2004-06-23,113.61,114.84,113.42,114.75,35580000,0.0,,0
2004-06-24,114.56,114.93,114.26,114.39,35272100,0.0,,0
2004-06-25,114.41,114.94,113.68,113.84,32837900,0.0,,0
