QQQ Shares,EEM Shares,TLT Shares,Capital,Date,QQQ Close,QQQ Dividend,EEM Close,EEM Dividend,TLT Close,TLT Dividend
0.0,0.0,466.60350544765515,39400.0,2004-01-02,36.36,0.0,18.62,0.01344,84.44,0.4
0.0,0.0,466.60350544765515,39297.34722880152,2004-01-05,37.09,0.0,19.27,0.0,84.22,0.0
0.0,0.0,466.60350544765515,39731.28848886784,2004-01-06,37.34,0.0,19.06,0.0,85.15,0.0
0.0,0.0,466.60350544765515,39889.93368072004,2004-01-07,37.68,0.0,19.1,0.0,85.49,0.0
0.0,0.0,466.60350544765515,39875.93557555661,2004-01-08,37.98,0.0,19.17,0.0,85.46,0.0
0.0,0.0,466.60350544765515,40571.174798673615,2004-01-09,37.73,0.0,19.14,0.0,86.95,0.0
0.0,0.0,466.60350544765515,40538.512553292276,2004-01-12,38.33,0.0,19.12,0.0,86.88,0.0
0.0,0.0,466.60350544765515,40813.808621506396,2004-01-13,37.95,0.0,19.01,0.0,87.47,0.0
0.0,0.0,466.60350544765515,41014.44812884889,2004-01-14,38.08,0.0,19.04,0.0,87.9,0.0
0.0,0.0,466.60350544765515,41168.42728564662,2004-01-15,38.18,0.0,18.65,0.0,88.23,0.0
0.0,0.0,466.60350544765515,40879.13311226907,2004-01-16,38.57,0.0,18.73,0.0,87.61,0.0
0.0,0.0,466.60350544765515,40869.801042160114,2004-01-20,38.54,0.0,19.28,0.0,87.59,0.0
0.0,0.0,466.60350544765515,40967.78777830412,2004-01-21,38.38,0.0,19.3,0.0,87.8,0.0
0.0,0.0,466.60350544765515,41266.41402179062,2004-01-22,38.15,0.0,19.25,0.0,88.44,0.0
0.0,0.0,466.60350544765515,40771.8143060161,2004-01-23,38.01,0.0,19.22,0.0,87.38,0.0
0.0,0.0,466.60350544765515,40524.514448128844,2004-01-26,38.59,0.0,19.35,0.0,86.85,0.0
0.0,0.0,466.60350544765515,40776.480341070586,2004-01-27,37.74,0.0,19.25,0.0,87.39,0.0
